text,sentiment
 yes i did - as a thank you. have contacted them 2ce but no response,neutral
Woke up to the sound of my neighbor getting a new roof,neutral
eating hawain pizza for breakfast  its a bit cold,negative
Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,negative
 LMAAAOOOOO that is horrible. Poor thing,negative
wee. done with advance audit paper,neutral
" Oh, fabulous ta.  I`m with the coffee too, obviously, although my cup is not large enough to embrace which is its deficiency.",neutral
 I had one of those in south Florida. Mowing around it could hurt,neutral
WHY DOES MY COUSIN PICK TODAY TO NOT TURN UP EARLY,neutral
" no, but I will. It just seems such a cruel condition",negative
wants to feel better,positive
 Is it culture day? Love it. I`m telling you graf culture in the study,positive
So effing tired  http://bit.ly/e0ZFz,negative
Morning and hope everyone has a great bank holiday,positive
  god you guys...i`ll call you guys...three way. to discuss.,neutral
 So sorry to hear your terrible news   Thinking of you all x,negative
X-men movie was pretty good. Kinda predictable @ points but good action sequences,positive
 ia so much! i haven`t really been happy with any of cooks choices for singles.,negative
At work but punchy due to two early morning pager events.,neutral
goodness gracious my chair broke,negative
sad day!!!!! Love you MaÃ¯Â¿Â½ (8 years ago!),neutral
Doesn`t have to go to work tomorrow! Good times! Revision though,positive
 gotta play `Off the Wall` first tho,neutral
" You`re not kidding when you say you have to be fast, are you?  I was there like 5 seconds after your tweet: nothing.",neutral
 hahaha tempting! but nvm la. i`m quite a klutz.  i actually fare better with my hp cam LOL,positive
 good!  now let`s go get this done..... www.HennesseyBlack.com,positive
 go and see my puppy! I don`t want to be there alone,negative
 totally! I`ve been waitin for somethin new and thought provoking at mj.name,positive
 I`m going big weekend  cant wait to see u! x,positive
i know i was wrong. maybe i shouldnt did all of those **** things like that,negative
Has got to look for a job this weekend,neutral
 what about me  I miss you too!,negative
looking at this website!! should be working!!,positive
 really??,neutral
 > 'live Q&A 24/7'... definitely the best part of twitter for me,positive
 hahahaha! i haven`t been out with my friends since sunday! i`m so lame,negative
now there`s a fly in my room,neutral
_Girl OOC sorry we keep missing each other...,negative
"#DuckRaces in the bath don`t quite work  Especially if you have no ducks! Only a polar bear,a seal & a whale.",negative
 what fun are you speaking of?,neutral
Have to leave twitter alone for the night..last night in Barcelona   back to Philly tomorrow. Hope u all have a great Friday! Muahh!!,positive
Round and Round the Garden: The amazing thing is that he`s still talking to me!  http://tinyurl.com/dx8as4,positive
I have a belly ache...,negative
going to work nightshift....,neutral
"_mcc bye, Scotty!  i`m gonna miss you. ily<333",positive
Watching Dr. Phil`s special on same-**** marriage. It`s sad how ignorant some people are,negative
_lou hahah hopefully!  enjoy your day,positive
 I accidentaly slammed my finger in the trunk,negative
 Chowder is the ****!!!!!!,negative
Happy Star Wars Day everyone!  Whats everyone up to this rainy bank holiday?  I am heading out soon for coffee with my mum then shopping,positive
Another water leak in my appartement. The good side is that I get to meet the girls previous & next floors,positive
"is disappointed to learn Newark, OH cancelled their july 4 fireworks due to the economy",negative
 im so jealous! I want to go to ny,negative
I didn`t get my q`doba today! sad,negative
Definitely need to work out after this business trip- too much free food and alcohol. I`m sure I`ve gained a few pounds.,positive
right. coursework now. PROMISE,neutral
 something we all need sometime,neutral
"is really, really bored... I guess I will go to bed",negative
morning!  well excited dancing down the park todayyy! should be good!  wooo c`mon venue!  ****,positive
Is not looking forward to the LSAT,neutral
happppppyyyy mothersdayyyyyyyyy  mummy you are the best,positive
uhh I wish someone would include me in their follow friday - would be great to get more followers,positive
Hoping I hear something soon about Krystles surgery,positive
my parents sold my car.,neutral
Hates that my a.c doesn`t work! Its so hot,negative
"OK, a few days old, but I love `s diagram of the mainstream adoption curve http://is.gd/ufIg . 'Everyone is doing it'   ...  !",positive
 Want to learn how to make flowers????,neutral
is Jay Leno`s last show tonight,neutral
Leaving Wildwood tomorrow  but Luke says we will be back soon!,neutral
Little brothers being funny  Congrats on the engagement http://tinyurl.com/cv5nw8,positive
Update 100,neutral
 girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,positive
cant wait for prom and after prom party on friday,positive
This is getting on my nerves. I cant change my pic,negative
just got a subponea,neutral
" Indeed plenty of jokes to be had  Lying on bed hoping it`s going to free up, I`m on Jury service tomorrow...",positive
  Thats charmingly funny,positive
were playing at 7 @ club impact tomorrow! finally got shirts! woopity doo! i want a slurpeeee sooo bad right now,negative
  congratulations  were you being mindful through the run as well or / and listening to music?,positive
First ever dropped call on my mobile. On a call to  no less! ( being charged for data even though I have a data pack  ),negative
 that`s a mess  I`ll look for it next week,negative
  The 'holy cow' is what did this to me.,neutral
" called about it, no answer shall try again tomorrow",neutral
it`s after 3 AM.!!  I think it`s time to bed.!!  have a good night twitts.! ;)),positive
Back in from LI 2hours ago n still made it to work  yay me,positive
This class is really long and I`m really getting hungry,negative
"Don`t worry, I won`t  I`ll send it to you as soon as I land in Delhi. I`ll let you know about the price in a little while.",positive
At nosely safari park with Leah,neutral
 just looked at your hotel web site..what a place   but they do massage  and thats my job..  lol  lol,neutral
I went green yesterday and I was out so I missed it  do I get another certificate????,neutral
 denial can be very powerful,neutral
Dinner and A Movie with the Hubby,neutral
"already knows 3 dishes: Torta, Hotdog, & Itlog. Hurrah for me!",positive
 I took my ring out...,neutral
"Gotta drop off some car parts for a buddy to press out, then to the dentist!    http://yfrog.com/0a7v3j",neutral
seen mi abueltia at the hospital... she`s doing good!,positive
 The sweety sat on the table this morning...Just woke up! Very sweet! Oh...btw...I think i`ll be home around 7 pm!!!  ****,positive
ps it`s rainging,positive
It`s too hot. I hate summer  #harrymcflytosing,negative
Got Six Feet Under series 1 on DVD,neutral
likes patricia`s dress,positive
i`m yours - jason mraz....looking for an electric guitar  yay!!!1,positive
 so my friends are coming to see you on NYC...but im on stupid vaca in the stupid cayman islands so i cnt go  iloveyou<3,neutral
oh i just check my stock port. My marketing was unable to buy me TICON at best price,positive
_fann coming up! Sowwy!,negative
"BTW, hey ppl. lol TGIF. Hopefully ur day is gr8. Mine is aight. Feeling like it kinda sux I got no plans 4 the wknd....",positive
" ah, I misunderstood your message. but really dislike the F word in the url   good luck with the march",neutral
i wish i was at the beach already,positive
on my way to work. I`M SO HUNGRY!,negative
  in all honesty...pain   blech.,neutral
 heyy nat! twitter twitter twitter. you`ll get used to it hahaha  love youuuuuuuuuuu,positive
where did  go???,neutral
My friends are awesome!   -- and the non Twitter ones here right now too!!,positive
  We are both following and I don`t think I have seen him online lol,neutral
I cant get all my rwitters on my phone this phone sucks,negative
gettin ready to put on a show  ugh i really hope ppl dont comee,negative
" pictures of your bliss?  In JPEG format?  Sorry, it`s message board terminology and u don`t play w/us on the boards",negative
seriously getting hurt.... 4 days before nationals.. what a joke,negative
 aww thanx andy,positive
Going to the doctors now. Scared as ****.,negative
 awww. i wish i had a younger sis ): but i do have an older one!!! i bet your younger sis loves it JUST as much as u do!,negative
" #avatarcamp photos, perhaps?  lol (just itching to see them!)",neutral
So tired & ready for bed!! Really in the mood for salt & pepper chicken wings & noodles but have no money on me for a Chinese!,negative
has found a free wifi point ... and it`s sunny,positive
 Thanks! Welcome back!,positive
"House of the Muses 4, page 28 is now live.   http://bit.ly/egVW3",positive
is working tomorrow all day so can`t do anything tonight  Whats the plan for Saturday?,neutral
"mothers day, happy mothers day mom",positive
all my pancakes always end up soggy.,negative
Off to bed .. Nighty night everyone,neutral
So im playing hooky from work and it feels good  Gonna go get ma hair did! .......i wonder how fitzsimmons is doing?,positive
Gonna read a story bout adam lambert online then bed. Nighty night,neutral
U-Verse is up and blazing at 25Mbps.  I don`t have anything to download though,neutral
Oops that would be #edaust09,negative
Frustrated with copying 13Gigs across USB 1.1.Stupid old servers,negative
 Good to know I`m not alone in my confusion,positive
"Have to walk to school, and i have two welts on my thighs!",negative
 So that is different than normal how?,neutral
 ahh that would rock,neutral
still hoping for a job... but now i have strep so looks like i wont be looking around places for the next couple of days,negative
My mom likes Milow`s version of Ayo Technology... It`s a good thing she doesn`t have a clue what it`s about.,positive
 We Agree!! You guy rock,positive
i don`t wanna work over the weekend,neutral
" Boo, on both counts.",neutral
" -- No fair, I want a sticker but I just moved away from London",negative
Im bored   -musiic[BOX],negative
" so which one are you The Good, The Bad or The Ugly",neutral
just found two very moldy and squishy reasons why non cracker based foods aren`t allowed in the play room. When mom`s away...,neutral
 I`ll believe it when I see it,positive
says BAD TRIP! (angry)  http://plurk.com/p/wxshi,negative
bye! off to the movies with jake,neutral
 you didn`t say you were leaving yesterday! You won`t see me at the house anymore once you get back... tear tear,neutral
"  Is competition around the corner? if not take it slow for at least a week. Twisted my ankle back in jc, awfully painful.",negative
_distel Maybe u have natural ability for languages  I envy u on that !!,negative
" Yeah, and that`s where everything becomes difficult and generalisations break down. Not an easy problem  .",negative
" Wow, I`ve officially lost all faith in Britain, looks like our wishes weren`t met, sadly",negative
 i got a messgae but it didnt work cause i have a text saver not like money credit  im sad now. wat do i do?? xoxo,negative
 That`s ok then....  I accept the slave role...  Your wish is my command...  hahaha,neutral
With bff _chrissy22 glad she got that dog out of here lol my stomatch hurts,negative
wtf come i need this day to go by,negative
"Family is here,hanging with them",neutral
" too many GermÃ¯Â¿Â½n rodrÃ¯Â¿Â½guez`s results. Which one are you?  I mean, how do you look like in your profile picture?",neutral
 I heard from  &  you`re away. I miss you too  Look forward to tweeting with you when you return.,negative
I wish I could go back to bed with ,positive
I give in to easily,negative
 'Thank god you didn`t go **** until after you had me...',neutral
 aaaa i cant go to his pagee  It really exist?,neutral
Happy Mother`s Day mommy and grandma haha  ily,positive
 ohh i love green and purple.. and BLACK!,positive
_Ferman that`s so weak!!  facebook fail,negative
" yeah, I just realise the organiser dun let performing artist/djs drink on stage  tight malaysian laws n rules here",negative
_ good to be back! It`s really late though and I just got back from scaring some people and I`m pleased but really tired,neutral
I spent an hour this morning going through yearbooks to see when each senior started to Harleton. My speech will be so boring.,negative
auntie diane wins quote of the day 'and hes the incredible hulk',positive
 aw its okay tht happened wid me too..am so glad thts OVER now!am not helpin here am i?!?lol thnx for postin WMIAD  loved it,positive
  it wont let me vote even tho im signed in,negative
hehe tweet time... bastos talaga chux,neutral
Ahh im in love.  hes theeee best.,positive
Apperently ea knows my copy of the sims 3 is not legit and is upset,negative
'I`m giving up on you. I don`t care how you mess up your life now.'... :`(,negative
" awww, im so sorry hun  im sure she didn`t do it on purpose though, she seems so sweet! Maybe it was a 24 hour thing? :s",negative
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative
 doesnt look good  we have to go burn some lampions,negative
Just got to the hospital. Jimmys really bad....please please send your good thoughts. I`m really worried.,negative
" yea, feel like im bein ignored",negative
"Good Morning BTW - A public holiday in UK, love it  and dinner tonoght with 2 special people.",positive
really fun day  gahhh i want my new phone this razr is killin me,neutral
 I am glad to hear that you are ok. Without you they would have to rename the show to  'Just Friends',positive
14 dayssss ahhhh super excited   `they`re telling me that my heart wont beat again`   JLS were awesome yesterday (:,positive
" Hee Hee! I only holiday in the gutter, try to get there once a week at least! Welcome! lol  ****",positive
"  We don`t feel too comfortable using it. It`s not awful, but pretty icky.  Scurrying to find a deal...",negative
Ushers: You guys made Mother`s Day really awesome today! Thanks for coming in early to prep the surprise gifts for all our moms!!,positive
I **** love Alexander William Gaskarth,positive
saddest celeb story of the week  http://bit.ly/h09Ph,negative
No betta nest  I think despite the heater it gets too chilly at night,negative
The fam back on the Big Island said the vog has been so bad that they can`t see the ocean. Sad!,negative
  13:00 is kickoff. The red cars hopefully,positive
 I knew that. I attended an innovation seminar at Picnic 2007.,neutral
Tyring to pack for my Aruba trip (soul beach music fest),neutral
 You missed me!  lol,neutral
OMGSH IM BEING FOLLOWED BY >>PARAMORE<< :O,positive
 gonna go home and TRY to take a nap. I am emotionally exhausted   ... I will be in after.. <3,negative
Gonna celebrate Mothers Day with the family but gonna start the partying tonite,positive
Mango Medley has yummy mango and mango ice cream!,positive
" always come up when we have the money least, it`s the rotten law of averages",negative
Neville88 am gud enuh hun...was jus sayin hi n hopin that ur avin a gud nite so far..HAPPY LADIES DAY 2MORO THEN...is dat better,positive
" haha i`ll keep that in mind  so far, i reckon i have enough money to stop my hair greying when i retire ;D",neutral
Almost dun choreographing the dance,neutral
 is on the radio,neutral
got caught in the rain outside. now im cold bbbrrr,neutral
_sara I`m sitting in the bus to dublin And listen tokio hotel-reden.And i must laugh.you know why,positive
" ooh yay, its been forevs since last ss tv  baked dinner is so good, how yummy. I had prawns  ****",positive
is it unny today or not? taking too long to decide haha. i wna get a tan,neutral
 He says thank you,positive
"imissu, come back home now honey",negative
really really getting excited!,positive
just waking up...ahh i have a headache,negative
" Welcome, found her yesterday by accident.",neutral
Suddenly I remember all the memories with him  ohhh please,negative
hope`s she see her bestie today,positive
"  cool, i saw it now in the link thanks",positive
Love how my printer decided to print all my blacks all marbled - 1hr before an interview for new work this morning.,positive
time to lie in bed and watch tv,neutral
 Unless that invite comes with a beta key I`m not going to be much help...,negative
 Lol! Joyologist? Love it - much better than the happy freak who can`t stop smiling  Enjoy Monday!,positive
So bored  waiting for class to start. Sigh midterms next week >_<,negative
 You have the best hair ever. Totally jealous. Mine`s unfixable if I forget and leave sunglasses stuck in it too long,neutral
"playing with Zeke, he`s leaving today",neutral
This weekend I started a 'Healthy Lifeestyle' - not Diet!     Let`s see how it goes - will keep ya posted on my progress.,positive
" come overhere then, the Dutch don`t dub  might go in an hour #BringTaraBack",neutral
" Kev, **** off! I`m stuck in Westgate working",negative
is starting to get this whole Twitter thing!,neutral
went to the dmv today.....some things never change,negative
 Thanks man.  That sorted it. I only ever remember 222.222,positive
On my shoot with Ron and Torey! Have lots of fun,positive
  Happy Mother`s Day to ya tomorrow,positive
on way to work,neutral
 g`mornin,positive
 nice to meet ya!,positive
 Pad Thai is my favourite,positive
_ I don`t see how there could possibly be another choice.,negative
 Glad TS brought it! Sorry about ur foot shorty...ur gonna have to relax wit the heels,negative
It`s pissing me off and not letting me follow ericka,negative
Congrats ...so proud of you girl,positive
_1993 Nope not yet  Within 10 working days from Thursday. It should be in before 2 weeks Wednesday. It`ll be in before that! I hope,positive
Humous and Dorito`s.... Oh yes,neutral
 It`s IQ is high when it comes to knowledge about how to swim round`n`round in the bowl...,neutral
" Lakers, baby Lakers!! I`ll miss the game tmwr. I have to work  you`ll have to keep me posted please",negative
Out for an evening on the town with jeremy. Sad Carrie can`t come,negative
 happy birthday  and  congrats  wish you were here for your lady..ill take care of her;),positive
I`m bummed that I didn`t get TEDx tickets,negative
ITO EN Tea Apple IS DELICIOUS!!!!!!!!!! (looks like I need to go to Don Quihote to buy more!!) goodnight,positive
on a sunny walk round the lake this morning we met a mother goose and father goose and five baby goslings,neutral
" How hard is it 2 be running back an forth constantly? Ya kno workin all the time, havin crazy sleepin schedules? Must be hard",negative
"debating whether to go to bed and start reading the last harry potter book, even though as soon as i start reading it, i won`t wanna stop",neutral
 love the stuff he sell... you should help this guy with his logo and shop  it`s kinda Wordart,positive
 haha have good dreams  haha best friends forever! haha. be sweet to presh bailey   zd?b;P,positive
character designs complete! .... in about a week we`ll give another sneak peak... stay posted!,neutral
 It would be amazing if we could meet us in Germany! I have been to Germany twice.,positive
I miss having nothing to do except lay out beside the pool every day of the summer.  That was much better than spending all day in class.,neutral
Twitter criado.,neutral
Hate I am going to miss the tweet up this weekend,negative
 i had to make sure I was looking at the right game summary...,neutral
 Yeah *fingers crossed*,neutral
Woke up early!! Dang man I know i`m not going back to sleep,neutral
 thanx for showin luv,positive
 (((HUGS))) back to you - you also have that look!,positive
"Just came back (well yesterday) from the Hannah M. movie, I LOVED IT! I went to the highest part of the cinema to dance! BEAUTIFUL SONGS",positive
 AHHHHHHH!!!!! its my 16th birthday  And i cant belive i found out im seeing yous tonight  Best present everr!!! <333333333,negative
Webcams Hoepfner Burgfest in #Karlsruhe: Automatic reload #fail http://bit.ly/Vdtvf,negative
  you aint invite me,neutral
slept all day.. lol. now time to start on my UN article.. what fun (: ...,positive
"Sitting watching britain`s got f all talent, but have watched a small girl cry and it`s sad",negative
Mo williamssssss,neutral
Bad Day. History Test Tommorrow. And I want to go out in the sun and play..,negative
Aw I wish I was in Ireland  ,positive
"Sportsmens Warehouse finally got field points in, i can now use all my arrows.",neutral
" I really hope you see my tweets. Sent you so much, I swear. Do a tour in the Philippines, please?  *prays*",positive
Sushi joint was closed  but still had a nice lunch w/ Angel!,positive
WOOOOO!! Twitterberry is working again!! Good morning everyone,neutral
Found out that a schoolmate died of an heart attack this morning. He was barely 35  will miss u bally!,negative
_tastic Awww that is sweet,positive
"twitters from her seat in the exam hall! it starts in 15mins. pray for seat 299 in MPSH1-A to be blessed, oh and for wisdom to flow.  whee",positive
 Oh come on!!! You get next week off and I get next week full of exams!,neutral
 That sucks! I`m going to be doing summer school.  Need to catch up on several units,negative
"Again, No P.F. Changs for lunch    Booooo",neutral
Job???????   Not so much.,neutral
" Hey, look who`s on twitter   Very kewl",positive
 Have you guys heard about the flu that`s been going around? Swine Flu? Hope you guys are safe  There`ve been deaths already. :-S,neutral
Two dozen roses sent  overnight and delivered this morning. Just found out the recipient is out of town!! Sad,negative
 i have a weird subconscience. i wonder who will i dream next,negative
" yep i am.got back this morning. NFg were fab last night, but i cant go tomorrow   you getting MS ticket soon? 4weeks away",positive
where are the good music and lyrics?! it seems like humans have lost their ability to understand whats good and whats bad.,neutral
 Welcome back to Japan,neutral
"Yep, one of those nights again.",neutral
gosh today sucks! i didnt get my tax returns! im so upset cuz now i have to miss my best friends wedding in washington...lame,negative
Can`t believe those idiots buzzed out the juggler.,negative
No more spending the day chatting with Steve on the computer   Now what I am I going to do at work?,neutral
 nice capture,positive
 Woo Hoo.!  I made it to one of your Favorites!  See.... Monday`s Rock!!,positive
 I will bring you cases of mountain dew if you give @_Slamma_ 2 tixs to see taylor swift!,neutral
Dow futures up 60 points in over night trading. Looks like May is off to a good start so far  /f,positive
"why I love so much, why your make me smile all the time? why your so special but i cant have u  ? I get scared to try.",neutral
Time to take a astronomy test!,neutral
_WSt the wheater here in Austria should be bad for the whole weekend. Sorry!,negative
home from school today,neutral
 alright don`t want you to overdue it now. LOL you are funny  nite nite,positive
"wants to move to QLD already, this cold weather is killing me",negative
SO BORED.,negative
Is sat in her PJs drinking tea and watching the Politics Show. Lovely,positive
"actually just woke up, going to attempt to see 17 again with Natalyy",neutral
 Just got it a few hours ago! So not yet!,neutral
word to yer mother!!   \m/,neutral
 where are ya headin to for your family vaca? i hope the paparazzi leave you alone,neutral
4:15 finally home from the city.  - now time to head to sleep!!  goodnight! & happy mommy`s day to all the mother`s out there!!,positive
pink bubble baths and champs,neutral
 ...as well as bell hooks Teaching to Transgress.  Sometimes I miss teaching & messing with bad system.,negative
House hunting for next year= No FUN!,negative
  caught me at lunch today... you were correct of he stalking me,positive
just doesn`t understand why this thing wont save my photos  Defo uggo! lol,neutral
I am so tired!,negative
 i think it starts at  7.30 with that david archuleta  i might just throw glitter all over myself aha ****,neutral
Just paid my bills now I have no money,negative
" Ooh, jealous. I just have yoghurt and some carrots.",negative
My teratoma has a cavity and is experiencing male-pattern baldness,negative
Wishes  a Happy Mother`s Day!,positive
is wishing everyone a blessed & beautiful Mother`s Day!,positive
i have become my mothers slave.,negative
 Had one of the female servers tell her **** looks big in those pants. She will worry all night long Lol,negative
"_L Thanks,I think your the first girl to say that...besides my mom",positive
" And these poor, unfortunate souls don`t appear to have any pants at all...  ? http://blip.fm/~78qvz",negative
is getting baptized tomorrow  and is a college graduate.  Busy weekend!,neutral
Off to get ready for toms..  gotta go make sure he`s not done anything stupid  ill tweet later.,negative
" Oh, I don`t really have much of an opinion on her either way. It`s just a night to rip everything.",neutral
_Yours13 I`m not at home with my cats right now!,neutral
 YEAY!. haha. thank you so much jiah,positive
  sitting next to magicmoment,neutral
(sigh) guess we`re not gonna meet up today.,negative
" TV is shite,thank god for youtube",neutral
" ugh! I have a knee injury too, except mine is just an infected cut that hurts like hell",negative
Guys. Just got someone with saran wrap. Tuesdays video shall be awesome,positive
 aww BBQ? that`s not fair  all i had was chocolate,negative
Do you guys like fish sticks?,neutral
 ekkk..thats ruff..hope you have a safe flight and good meeting,positive
 you coming on myspaceee? if yr doing work though dnt bother,positive
" did you decide it is a sprain? mine has been bothering me again, but never had it checked out",negative
"left school just now. my new dress broke, the strap ripped off",negative
 Last night was awesome! Thanks for all the hard work you put into it! Off to get some coffee now...,positive
 I think we have it pretty much figured out.  added a box in the Helsinki group where you can see the tweets,positive
"Tweet **** ? I am up to 10,000 tweets",positive
It`s Midnight - I`m outta here.  HAPPY MOTHER`S DAY FELLOW MOMMIES!!!  (And to non-Mommies too).  May EVERYONE have a special day!!!,positive
am hungry agaaaaaaiiiin maaaam,negative
I didn`t catch the Jonas Brothers Facebook Webcast...  It already ended when I logged in to my Facebook account...,neutral
ughhh studying for finals i wish i could go to prom,positive
" _kat I`ve begged my mum to lt me get them out the attic.. but she wont let me  Waaa... and yes, was spoilt! hehe!",negative
first puppy gone 2 new home.,neutral
" btw, i am actually just trying to get my own lazy bottom in gear.  Me lots to do to and still not dressed !",neutral
wolverine was a bit short. waiting for cat to get dressed then off to York for the day,neutral
"It`s not my best writing, well i don`t think. LOL. but it`s some! I`d read it all if i were you!  It`s pretty **** good after all! =}. LOL",neutral
 we watched that one day in the middle of playing-- it REALLY doesn`t hold up,negative
"Two months ago, I became worthless.",negative
F.Y.I. a lot of you people that are following me i have unfollowed a lot of you  yer kinda boring me or not really helpful to my e-growth!,negative
"Mom asking if I`m feeling better after dargah visit. Dad swears he sees +ve 'change'.  I am amused.   But yeah, still depressed",neutral
" Yup, everything`s there.",neutral
 just pre-ordered your new album `Off The Deep End`. Been listening to `Permanent Heart` on repeat since.,neutral
 My cats enjoy the sunbeams from the open windows.  I think that counts.,positive
 i`ll go to the movies with you,neutral
"Is playing bubblewrap on her iPhone. Over and over and over again. Still, beats working...",neutral
" You`re a fine looking set of neighbours, I must say! Lots of compliments have been showered upon your header graphic too",positive
on the way to kuya jordan`s house for an O`s sleepover  !,neutral
"Oh ffs :@ a don`t get paid till monday :@:@:@ :$. Sorry william, gonna have to wait till next weekend till I give you Ã¯Â¿Â½  :@",negative
http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,negative
"Going to the Star Trek premier tomorrow night, uber stoked. I don`t care if I`m a nerd, Star Trek is amazecore!!",positive
 oooo ok   why  havent you accepted my friends request,neutral
 Why I aint on ur #FF list? im hurt,negative
My car is broken.,negative
 She must have a very adwancrd sense of humor!  That`s funny,positive
hm seems to have been because my blog was marked as a phishing site,negative
   All this flirting going on - The ATG smiles. Yay.  ((hugs)),neutral
Greg Pritchard was ROBBED of a place in the final of BGT... Cry baby ****-face got through instead,negative
  Yes. I am secure in my masculinity.,positive
they were actually there omg apparently a relative of marc went to my school lol,neutral
@_anniemay OMG No fair,negative
Congrats to ALL Graduates! Such a Beautiful thing & Big DEAL! I jus wish i cudve attended My lil man Ryan kdg graduation  Feel verY SAD!,neutral
 Yup. Most of my hacks are all for fun  Here`s a quick video I made of it. I`ll follow up when it`s done.  http://bit.ly/3xm7D,neutral
 i know  its nice haha,positive
back to school! feels like its gonna be a great day,positive
Wait...  and ... Electrik Red or Richgirl?  I`m a sucker for the later,negative
**** week all **** week  off to the gym now with the worst headache.,negative
great party alenka!!  happy birthday chicky! <3,positive
 **** - doesn`t show how people are more conservative in blackjack,negative
 i cantttt.  my grandparents are here.,negative
"Zen-related stuff: 'Go with the flow.' Very easy to accomplish - it started to rain, so the rain will flush me away",positive
"I`m a genius  put rug in washing machine, left folding door half open, machine moved now door won`t close or open. shaking head.",neutral
: aww im sorry honey.  that stinks,negative
 Same here - coffee is the lifeline to all things good,positive
"You make me smile....it will get better, you have to believe that",positive
A long and stressful day coming up tomorrow. Have to write responses to EOI; doing a colleagues job,negative
Spring cleaning episode 2....do I really have to,neutral
 Just read that message about u being at Stephanie`s in Greensboro.....love it! I miss my home!,negative
